Sum of __index_level_0__,Sum of avg_temp_c,Sum of avg_sea_level_pres_hpa,Sum of avg_wind_dir_deg,Sum of avg_wind_speed_kmh,city,competition,country,city_name,Sum of Draw,Sum of max_temp_c,Sum of Loose,Sum of min_temp_c,neutral,Opponent,Sum of peak_wind_gust_kmh,Sum of Point,Sum of precipitation_mm,Result,season,Snow,Sum of snow_depth_mm,stadium,station_id,Sum of TA,Sum of TF,Team,Sum of sunshine_total_min,Sum of TotalTri,TrancheTemp,TranchWind,Sum of Win,world_cup
56221,8.2,1007.7,170,28.8,Dublin,2021 Six Nations Championship,Ireland,Dublin,0,13.1,0,1.1,False,Ireland,74.1,3,2.5,W,Winter,false,,Aviva Stadium,03969,13,15,France,,28,0-20,moins de 30,1,False
56864,5.4,1010.5,198,13.7,Dublin,2022 Autumn International,Ireland,Dublin,0,9.2,0,-0.5,False,Australia,38.9,3,1.7,W,Autumn,false,,Aviva Stadium,03969,10,13,Ireland,,23,0-20,moins de 30,1,False
56864,5.4,1010.5,198,13.7,Dublin,2022 Autumn International,Ireland,Dublin,0,9.2,1,-0.5,False,Ireland,38.9,0,1.7,L,Autumn,false,,Aviva Stadium,03969,13,10,Australia,,23,0-20,moins de 30,0,False
56850,11.1,1006.2,201,16.4,Dublin,2022 end-of-year test,Ireland,Dublin,0,13.8,1,5,False,Ireland,38.9,0,0.1,L,Autumn,false,,Aviva Stadium,03969,19,16,South Africa,,35,0-20,moins de 30,0,False
56850,11.1,1006.2,201,16.4,Dublin,2022 end-of-year test,Ireland,Dublin,0,13.8,0,5,False,South Africa,38.9,3,0.1,W,Autumn,false,,Aviva Stadium,03969,16,19,Ireland,,35,0-20,moins de 30,1,False
56619,9.9,1034,119,24.6,Dublin,2022 Six Nations Championship,Ireland,Dublin,0,14.4,0,6.4,False,Ireland,44.5,3,0,W,Spring,false,,Aviva Stadium,03969,26,5,Scotland,,31,0-20,moins de 30,1,False
56600,7.1,1018.5,241,14.4,Dublin,2022 Six Nations Championship,Ireland,Dublin,0,9.9,0,7.7,False,Ireland,46.3,3,0.4,W,Winter,false,,Aviva Stadium,03969,57,6,Italy,,63,0-20,moins de 30,1,False
56577,6.7,1011.2,239,25.2,Dublin,2022 Six Nations Championship,Ireland,Dublin,0,9.7,0,2.5,False,Ireland,66.7,3,8.4,W,Winter,false,,Aviva Stadium,03969,29,7,Wales,,36,0-20,moins de 30,1,False
56600,7.1,1018.5,241,14.4,Dublin,2022 Six Nations Championship,Ireland,Dublin,0,9.9,1,7.7,False,Italy,46.3,0,0.4,L,Winter,false,,Aviva Stadium,03969,6,57,Ireland,,63,0-20,moins de 30,0,False
56619,9.9,1034,119,24.6,Dublin,2022 Six Nations Championship,Ireland,Dublin,0,14.4,1,6.4,False,Scotland,44.5,0,0,L,Spring,false,,Aviva Stadium,03969,5,26,Ireland,,31,0-20,moins de 30,0,False
